doc_id,domain,model,population,token_count,half_life,ppl_W4,ppl_W8,ppl_W12,ppl_W16,ppl_W24,ppl_W32,ppl_W48,ppl_W64,ppl_W96,ppl_W128,delta_max,auc_full,log_slope,auc_early,auc_late,early_fraction,measuring_model
uniform_016,uniform,uniform,uniform,1069,14.403194869696526,270341.28983648645,221248.9132057379,231235.1590399003,209812.2272955126,194622.9633200044,185066.81892396288,164133.0305171675,149593.15725085197,171158.82784752536,166387.28841232846,103954.00142415799,11779398.805634934,30888.21492039897,1662812.9007371326,1930236.6972955395,0.1411627985582498,mistral-7b
uniform_017,uniform,uniform,uniform,425,23.608339675120718,248849.40035097697,236924.3170427885,226018.69947536636,233309.00312961495,214441.79977077327,212957.7794180854,199263.02255444648,191890.9536033227,179372.91149992042,181881.58293984146,66967.8174111355,6393343.264399864,21080.01871105763,651092.8084365642,2296654.846405711,0.10183917576615238,mistral-7b
uniform_018,uniform,uniform,uniform,257,12.932030781919009,219391.06715460774,202049.87286274903,180622.891905023,173767.97137913737,156422.73489650644,151234.56204917238,155263.19437807772,141930.84885775688,131297.1368610557,138660.21818657132,80730.84896803641,8815591.32857978,24700.191469077417,1274548.7313051478,998018.1071528371,0.14457892656311255,mistral-7b
uniform_019,uniform,uniform,uniform,458,21.38275370743282,230090.99928685479,210124.6802940961,207844.1191987551,198473.86310260833,170607.8651540586,151384.67078330574,141158.53351044885,165605.06581092768,136408.95823064982,129357.77597614405,100733.22331071073,9359035.371148545,30168.100995208395,1149246.0005054777,653981.8343023604,0.1227953474829577,mistral-7b
uniform_020,uniform,uniform,uniform,807,42.043888397133486,152439.6119699638,161628.46519332658,137495.8764726429,139488.03793320982,149444.82493058633,143417.0222481133,125689.19852752252,118602.36970931148,113536.64785549414,112137.39715455413,40302.214815409665,3362789.0643378813,13618.680716420324,160777.6285187779,2335842.8225214556,0.0478107979545349,mistral-7b
uniform_021,uniform,uniform,uniform,368,15.295205334930168,273714.60907605616,256366.94584705346,237512.65624180727,215294.44994099138,204469.60307044248,198473.86310260833,166181.0828514126,174805.38903159925,188681.83452932493,164703.9274400446,109010.68163601158,10581145.811122527,31938.16025452282,1419642.4510020958,1938391.7466694387,0.13416717587520793,mistral-7b
uniform_022,uniform,uniform,uniform,240,17.118383763221917,222238.83958126235,188869.11176907353,191700.67999115316,181611.12710430074,159715.72474790848,140948.63238408303,139973.21322902516,139973.21322902516,130323.8489931201,134861.54900618913,87377.29057507322,9605006.631615154,26713.303571686323,1324743.57192651,476403.16875943076,0.13792219232479014,mistral-7b
uniform_023,uniform,uniform,uniform,597,10.889825460531714,257641.76642829532,231809.3707120181,200452.64901690808,181881.58293984146,176285.67492445998,187841.3823161346,182695.36942839637,190941.47037162888,158453.15644975164,160669.24863907284,96972.51778922247,9800645.756117327,24243.107073957457,1716697.4219207065,1383111.4594291926,0.17516166430657748,mistral-7b
uniform_024,uniform,uniform,uniform,272,22.44696045788403,236103.08973111038,223343.9533692876,222459.42401932197,217656.75948562016,176373.1399065036,174458.89679821732,167671.48620497147,157434.6724354396,141790.114264576,132671.96349390713,103431.12623720325,9089720.009797629,32349.64978082363,940705.5600958124,2231171.9281440843,0.10349114814117977,mistral-7b
uniform_025,uniform,uniform,uniform,328,21.430796911175243,269137.0990041968,227142.60914665688,241792.04882076132,235401.44659377728,203457.88023588023,174632.05697934158,171116.38300512728,161949.47494926758,151234.56204917238,158296.03880626053,110841.06019793628,11826438.908102391,35562.513023218504,1383225.9928723727,1370728.8808439157,0.11696048181711852,mistral-7b
uniform_026,uniform,uniform,uniform,392,6.645628210620129,303162.3681732522,276032.4774022548,256748.7282722254,221029.5290757738,220919.91859992713,232039.45443578038,213380.73415390516,205180.8009740394,213592.52642849032,267274.56598585553,35887.80218739668,9526889.246630616,18160.708026604487,1729402.408809455,969687.119023867,0.18152855187448458,mistral-7b
uniform_027,uniform,uniform,uniform,1228,13.171214280518786,207741.0474829415,184791.62667891025,176548.20008063156,151986.59711226643,168421.6929481941,128144.35724665024,155803.23972804277,147529.83629698193,155109.2398102539,130971.90260383068,76769.14487911083,7009409.050296076,17974.75678960046,1184037.3722725594,-1815910.5846604453,0.16892114068054653,mistral-7b
uniform_028,uniform,uniform,uniform,348,8.823680149749237,303463.2737249115,272360.25950038736,204672.55055063337,208981.28886971297,223343.9533692876,228045.75948656088,206303.39893269184,205079.0500210178,202853.25102257167,213380.73415390516,90082.53957100635,11209052.317611538,22822.16346138381,2029091.4785247939,1939879.472205085,0.18102257184906773,mistral-7b
uniform_029,uniform,uniform,uniform,288,15.363088717732058,351630.89180582843,312165.7833428582,269537.898779777,258922.92623360862,246026.47828926376,220372.68103367276,183694.94369558876,181611.12710430074,194092.7215192671,169595.35854919837,182035.53325663006,18183653.540664334,52621.34079516046,2412348.3506105454,3170516.955926844,0.1326657673726449,mistral-7b
